"Construct","Indicator","Weight","T_Stat","P_Value","CI_Low","CI_High","Sig_Primary","T_Sig","Mismatch","Significant"
"COM","COM1",0.24,2.563,0.0168,0.041,0.413,TRUE,TRUE,FALSE,TRUE
"COM","COM2",-0.005,-0.047,0.9636,-0.185,0.204,FALSE,FALSE,FALSE,FALSE
"COM","COM3",0.22,2.332,0.0352,0.015,0.39,TRUE,TRUE,FALSE,TRUE
"COM","COM4",0.134,1.908,0.0608,-0.007,0.266,FALSE,FALSE,FALSE,FALSE
"COM","COM5",0.043,0.454,0.626,-0.136,0.241,FALSE,FALSE,FALSE,FALSE
"COM","COM6",-0.1,-1.327,0.1948,-0.251,0.048,FALSE,FALSE,FALSE,FALSE
"COM","COM7",0.19,2.23,0.0264,0.022,0.354,TRUE,TRUE,FALSE,TRUE
"COM","COM8",0.22,2.283,0.0172,0.038,0.412,TRUE,TRUE,FALSE,TRUE
"COM","COM9",0.258,3.113,0.0016,0.096,0.424,TRUE,TRUE,FALSE,TRUE
"MO","MO1",0.155,1.345,0.1748,-0.073,0.378,FALSE,FALSE,FALSE,FALSE
"MO","MO2",0.347,3.167,0.0044,0.117,0.546,TRUE,TRUE,FALSE,TRUE
"MO","MO3",0.314,2.862,0.006,0.1,0.523,TRUE,TRUE,FALSE,TRUE
"MO","MO4",0.167,1.593,0.106,-0.031,0.381,FALSE,FALSE,FALSE,FALSE
"MO","MO5",0.3,3.194,0.0016,0.109,0.472,TRUE,TRUE,FALSE,TRUE
"CG","CG1",-0.048,-0.485,0.6316,-0.234,0.158,FALSE,FALSE,FALSE,FALSE
"CG","CG2",-0.036,-0.379,0.7336,-0.223,0.148,FALSE,FALSE,FALSE,FALSE
"CG","CG3",0.331,3.401,0.0048,0.133,0.516,TRUE,TRUE,FALSE,TRUE
"CG","CG4",0.13,1.148,0.2456,-0.098,0.346,FALSE,FALSE,FALSE,FALSE
"CG","CG5",0.003,0.026,0.974,-0.212,0.206,FALSE,FALSE,FALSE,FALSE
"CG","CG6",0.046,0.558,0.5556,-0.106,0.216,FALSE,FALSE,FALSE,FALSE
"CG","CG7",0.347,2.734,0.006,0.096,0.593,TRUE,TRUE,FALSE,TRUE
"CG","CG8",0.019,0.166,0.8392,-0.202,0.242,FALSE,FALSE,FALSE,FALSE
"CG","CG9",0.37,2.75,0.0092,0.096,0.621,TRUE,TRUE,FALSE,TRUE
"ETH","ETH1",0.203,3.227,4e-04,0.081,0.327,TRUE,TRUE,FALSE,TRUE
"ETH","ETH2",0.299,4.287,4e-04,0.153,0.428,TRUE,TRUE,FALSE,TRUE
"ETH","ETH3",0.236,2.946,0.0032,0.085,0.399,TRUE,TRUE,FALSE,TRUE
"ETH","ETH4",0.342,5.36,0,0.213,0.465,TRUE,TRUE,FALSE,TRUE
"TC","TC1",0.648,5.795,0,0.408,0.844,TRUE,TRUE,FALSE,TRUE
"TC","TC2",-0.158,-1.241,0.2332,-0.4,0.108,FALSE,FALSE,FALSE,FALSE
"TC","TC3",0.546,3.976,0.0012,0.252,0.787,TRUE,TRUE,FALSE,TRUE
"TC","TC4",-0.082,-0.47,0.58,-0.452,0.249,FALSE,FALSE,FALSE,FALSE
"TC","TC5",0.136,0.762,0.4136,-0.212,0.497,FALSE,FALSE,FALSE,FALSE
"TC","TC6",0.023,0.151,0.8616,-0.27,0.343,FALSE,FALSE,FALSE,FALSE
"AQ","AQ1",0.27,4.673,0,0.156,0.379,TRUE,TRUE,FALSE,TRUE
"AQ","AQ2",0.029,0.537,0.5676,-0.072,0.134,FALSE,FALSE,FALSE,FALSE
"AQ","AQ3",0.08,1.218,0.1856,-0.04,0.214,FALSE,FALSE,FALSE,FALSE
"AQ","AQ4",0.425,6.013,0,0.271,0.544,TRUE,TRUE,FALSE,TRUE
"AQ","AQ5",0.284,4.542,0,0.163,0.411,TRUE,TRUE,FALSE,TRUE
"AQ","AQ6",0.041,0.991,0.302,-0.04,0.126,FALSE,FALSE,FALSE,FALSE
